MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,metal
12.36196712,-2.97691358,12.36196712,0.232581727,0.66477425,290.428,255.148,290.237467,116,0,0.200678028,-0.344240175,0.344240175,0.200678028,0.842105263,1.105263158,1.315789474,31.1775096,9.861030069,2.278107881,-2.274523409,2.469480515,-2.177211861,7.5752087,0.308549391,4.359263597,281.6910727,15.48312766,14.28580314,15.18023034,8.201907263,7.509830199,9.539889635,8.951358495,11.37425135,3.115584962,5.503418294,3.268428219,5.623744106,0.19,3058.214729,19.19,6.763855185,11.69644165,120.3838867,4.893411603,0,0,7.36882753,0,0,4.565048285,0,0,0,55.3898976,35.50743628,12.32382005,0,9.458459888,7.36882753,0,0,22.66579303,68.23154084,12.32382005,0,0,0,0,0,0,7.36882753,17.21723166,4.565048285,22.66579303,68.23154084,0,0,0,0,37.3,7.36882753,9.458459888,0,10.82998094,24.15963215,12.84164325,0,0,0,55.3898976,0,12.36196712,0,10.20451814,0,0.465163454,0.6345742,0,2.952290958,17.33062193,-2.97691358,1,19,1,2,0,0,0,0,0,0,1,1,3,6,0,0,0,0,5.4014,86.0313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni
10.15935717,-0.67522345,10.15935717,0.323554422,0.646968992,172.268,152.108,172.1463299,72,0,0.302839557,-0.48123039,0.48123039,0.302839557,1.166666667,1.75,2.166666667,16.36512311,9.892752501,2.083123424,-2.166174243,2.216157068,-2.037968793,5.660154438,-0.136651686,3.168911359,133.2642307,9.612884175,8.390995792,8.390995792,5.416502219,4.634837724,4.634837724,4.515058887,4.515058887,1.817418862,1.817418862,1.108332506,1.108332506,-0.53,245.3377488,11.47,5.175013037,9.47,74.97948591,5.106527395,0,0,0,0,5.969305288,4.794537184,0,0,0,33.61285484,18.25663372,6.420821623,0,9.901064579,5.969305288,0,0,5.414990469,52.87531971,0,0,0,0,0,0,0,0,11.07583268,4.794537184,5.414990469,52.87531971,0,0,0,0,37.3,5.969305288,4.794537184,0,0,11.83581209,19.26246487,6.420821623,0,0,20.7712116,5.106527395,0,0,10.15935717,8.372675855,0.392086876,-0.67522345,0,4.530282974,6.637487245,0,0.9,12,1,2,0,0,0,0,0,0,1,1,2,5,0,0,0,0,3.0676,50.1758,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,Ni
12.17098356,-3.308449074,12.17098356,0.436535494,0.383904286,266.318,239.102,266.164696,104,0,0.474277752,-0.286876761,0.474277752,0.286876761,0.705882353,1,1.235294118,31.20492506,10.36562853,2.252196297,-2.172379991,2.493413964,-2.034237154,7.480197941,0.10968018,3.998982973,175.398097,12.98528137,11.44416779,12.33859498,8.181980515,6.717642491,8.178235977,4.007544538,5.676568398,2.241875801,3.738281657,1.073875465,2.35560099,0.11,4567.307267,17.11,11.21469763,9.779410294,105.6438606,0,0,0,0,0,7.822697123,13.57124149,4.565048285,0,0,40.03367647,19.26246487,0,19.82064589,18.13628977,7.822697123,0,0,0,59.29614134,19.82064589,0,0,0,0,0,0,7.822697123,19.82064589,18.13628977,0,59.29614134,0,0,0,0,44.76,7.822697123,4.565048285,0,0,19.82064589,38.52492974,0,0,0,20.7712116,13.57124149,27.9938237,0,0,0,0,0,0,5.63150463,7.488676304,-3.308449074,1,17,0,4,0,0,0,0,0,0,4,0,5,12,0,0,0,0,4.5446,70.1865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,Ni
11.91334766,-3.890902542,11.91334766,0.315505401,0.425764491,322.426,287.146,322.2272962,128,0,0.471696675,-0.302495162,0.471696675,0.302495162,0.857142857,1.238095238,1.523809524,31.20469357,10.00776267,2.238061164,-2.197033244,2.443540046,-2.115899176,7.469307853,0.110376932,4.075382025,259.4505415,16.13998191,14.34494041,15.2393676,9.985023649,8.602989694,10.09843481,5.893092434,7.346601758,4.033316475,4.984036001,2.232684878,3.10562308,0.11,28045.3784,21.11,12.63394622,11.34630753,130.7843176,4.893411603,0,0,0,0,7.822697123,9.047494323,4.565048285,0,0,66.21987854,24.67745534,0,13.21376393,18.50595421,7.822697123,0,0,11.83581209,79.06152178,13.21376393,0,0,0,0,0,0,7.822697123,18.10717553,13.61254261,11.83581209,79.06152178,0,0,0,0,55.76,7.822697123,9.458459888,0,0,25.04957602,51.36657298,0,0,0,27.6949488,9.047494323,22.24900337,0,9.765218096,0,0,0.687200881,0,8.559414266,9.10228815,-3.890902542,1,21,1,4,0,0,0,0,0,0,3,1,5,14,0,0,0,0,5.5528,88.3413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni
10.50541383,-0.580225813,10.50541383,0.218172714,0.048805285,610.924,548.428,610.4709585,248,0,0.123173705,-0.507300889,0.507300889,0.123173705,0.727272727,1.340909091,1.886363636,16.43736703,9.829222773,2.275974753,-2.263656534,2.305148273,-2.343274138,5.900499812,0.146105754,4.59E-07,1051.297627,32.58092873,28.34784303,28.34784303,21.39483903,17.39445165,17.39445165,12.11705929,12.11705929,8.694725721,8.694725721,5.765498871,5.765498871,-2.86,2760006345,39.16430724,24.45965638,14.74482766,267.8584804,20.62756084,5.749511833,0,0,0,0,0,0,0,0,151.9573517,60.7787357,11.48135754,18.03025197,20.62756084,11.92628558,0,0,22.14723755,143.4557984,0,53.59147246,0,16.87641482,0,0,5.749511833,0,38.65781281,6.420821623,11.83581209,142.0579133,52.77599493,0,11.12690298,0,105.64,6.103966388,15.42030781,0,11.83581209,11.46119684,74.47774908,56.72380343,0,36.39820241,50.99647852,5.207253025,0,0,0,45.17904577,4.407322873,0.764976055,13.53945323,19.33551621,10.77368586,0,0.631578947,44,4,6,0,0,0,2,0,2,6,4,6,21,0,0,0,2,10.7707,186.4606,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,Ni
2.083333333,1.321759259,2.083333333,1.321759259,0.45880628,92.141,84.077,92.06260026,36,0,-0.039774526,-0.062249086,0.062249086,0.039774526,1,1.571428571,1.857142857,13.78210528,10.24462622,1.7152547,-1.822323872,1.916278996,-1.622155593,5.111827209,1.475756642,3.02146531,129.9656602,5.112884175,4.386751346,4.386751346,3.39384685,2.410683603,2.410683603,1.654700538,1.654700538,0.940455735,0.940455735,0.534377897,0.534377897,-0.78,47.19725257,4.380771704,1.78328604,1.038264132,43.79634523,0,0,0,0,0,0,0,0,0,0,35.89528683,6.9237372,0,0,0,0,0,0,0,6.9237372,0,35.89528683,0,0,0,0,0,0,0,0,6.9237372,5.563451492,30.33183534,0,0,0,0,0,0,0,0,0,0,5.563451492,0,18.19910121,19.05647134,0,0,0,0,0,1.321759259,0,10.26157407,0,2.083333333,0,0.142857143,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1.99502,31.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni
5.849482867,-1.449135802,5.849482867,0.402334814,0.160214238,645.128,574.568,644.3835595,232,0,0.003949763,-0.140930686,0.140930686,0.003949763,0.421052632,0.552631579,0.657894737,32.89473798,9.860180194,2.257961733,-2.297273495,2.561703341,-2.16604869,8.634216746,0.318001813,0,627.3821455,30.96625533,28.57160629,33.78230822,16.40381453,15.0196604,23.6706695,17.90271699,33.16018552,6.231169925,14.75528276,6.536856437,17.6464861,2,6335517.379,42.13296399,16.74078478,29.49092971,263.105425,0,0,0,0,0,0,0,0,0,24.49725799,134.3935074,95.66251266,10.47933602,0,0,58.59030618,0,0,45.33158606,136.4630817,24.64764011,0,0,0,0,0,0,34.97659401,24.64764011,23.61371218,45.33158606,136.4630817,0,0,0,0,0,10.47933602,0,0,0,45.33158606,24.64764011,25.68328649,0,0,110.7797952,48.11097017,0,21.48019904,0,-2.898271605,1.609339254,2.796926178,0,9.598409077,37.13562028,0,1,38,0,0,0,0,0,0,0,0,2,2,6,12,0,0,0,0,12.9106,198.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni
5.849482867,-1.449135802,5.849482867,0.402334814,0.432560907,322.564,287.284,322.1917797,116,0,0.003949763,-0.140930686,0.140930686,0.003949763,0.842105263,1.105263158,1.315789474,32.89159763,9.861052652,2.241972381,-2.296464023,2.551001501,-2.165251048,8.630385211,0.318780301,4.359263597,281.6910727,15.48312766,14.28580314,16.89115411,8.201907263,7.509830199,11.83533475,8.951358495,16.58009276,3.115584962,7.377641382,3.268428219,8.823243049,1,3058.214729,20,7.319857313,12.45124717,132.2369514,0,0,0,0,0,0,0,0,0,12.24862899,67.19675369,47.83125633,5.239668008,0,0,29.29515309,0,0,22.66579303,68.23154084,12.32382005,0,0,0,0,0,0,17.488297,12.32382005,11.80685609,22.66579303,68.23154084,0,0,0,0,0,5.239668008,0,0,0,22.66579303,12.32382005,12.84164325,0,0,55.3898976,24.05548508,0,10.74009952,0,-1.449135802,0.804669627,1.398463089,0,4.799204538,18.56781014,0,1,19,0,0,0,0,0,0,0,0,1,1,3,6,0,0,0,0,6.4553,99.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ni
13.47977868,-1.886090181,13.47977868,1.0446875,0.141708721,386.645,335.237,386.3677529,158,0,0.087719231,-0.323555786,0.323555786,0.087719231,0.384615385,0.615384615,0.884615385,31.16408545,10.12827063,2.200494553,-2.184511784,2.481711856,-2.017227184,7.634187279,0.555264629,4.044873529,265.7836289,19.3492424,18.70470429,19.59913148,12.68198052,12.25257783,14.5150928,8.53223998,11.99011822,5.757546398,9.151318849,3.876280211,6.946860119,0.23,399649.0219,26.23,19.97693222,17.63423204,166.4225196,4.565048285,0,0,0,0,0,0,0,0,0,117.0835359,19.26246487,18.48573008,7.141892734,4.565048285,7.141892734,0,0,0,136.3460008,18.48573008,0,0,0,0,0,0,7.141892734,18.48573008,4.565048285,0,136.3460008,0,0,0,0,17.07,7.141892734,4.565048285,0,0,0,18.48573008,115.5747892,0,0,20.7712116,0,13.47977868,0,0,0,0,0,0,26.89275889,6.819108168,-1.886090181,1,26,0,1,0,0,0,0,0,0,1,0,2,21,0,0,0,0,9.431,122.3355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,Ni
2.559651597,0,2.559651597,0,0.174691518,404.167,349.735,403.3944784,166,0,0.078406215,-1,1,0.078406215,0.37037037,0.592592593,0.851851852,35.45300122,10.07077731,2.195592155,-2.349027612,2.157968568,-2.996005458,4.506114831,-0.909874679,0,226.2554954,19.3492424,19.67442047,20.43034942,12.68198052,12.51721724,12.51721724,9.093624943,9.093624943,6.154505512,6.154505512,4.156972693,4.156972693,0.25,399649.0219,29.45115675,22.53819123,20.78833852,179.6207602,16.89006402,0,0,0,0,0,0,0,0,0,97.82107107,38.52492974,0,26.6819412,16.89006402,0,0,0,0,136.3460008,26.6819412,0,0,0,12.40703316,0,0,0,31.16497206,0,0,136.3460008,0,0,0,0,0,0,0,0,12.40703316,0,0,139.6920893,0,0,27.81888358,0,1.356481481,0,0,0,0,0,0,25.86058308,11.22328384,2.559651597,1,27,0,1,0,0,0,0,0,0,0,0,2,21,0,0,0,0,5.5185,120.9134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,0,Ni
